Hours,Scores
4.4,36.0
9.6,88.0
7.6,70.0
6.4,54.0
2.4,31.0
2.4,24.0
1.5,8.0
8.8,82.0
6.4,53.0
7.4,71.0
1.2,17.0
9.7,83.0
8.5,81.0
2.9,28.0
2.6,28.0
2.7,34.0
3.7,32.0
5.7,48.0
4.9,40.0
3.6,28.0
6.5,58.0
2.3,22.0
3.6,34.0
4.3,43.0
5.1,46.0
8.1,80.0
2.8,24.0
5.6,64.0
6.3,60.0
1.4,8.0
6.5,53.0
2.5,25.0
1.6,13.0
9.5,89.0
9.7,90.0
8.3,74.0
3.7,29.0
1.9,10.0
7.2,63.0
5.0,49.0
2.1,20.0
5.5,43.0
1.3,13.0
9.2,85.0
3.3,25.0
7.0,64.0
3.8,34.0
5.7,46.0
5.9,55.0
2.7,27.0
9.7,93.0
8.0,77.0
9.5,79.0
9.1,77.0
6.4,60.0
9.3,86.0
1.8,19.0
2.8,44.0
1.4,15.0
3.9,41.0
4.5,45.0
3.4,34.0
8.5,75.0
4.2,42.0
3.5,28.0
5.9,52.0
2.3,18.0
8.2,74.0
1.7,27.0
9.9,80.0
8.0,75.0
2.8,17.0
1.0,7.0
8.3,80.0
7.4,67.0
7.6,63.0
7.9,68.0
1.7,19.0
4.2,34.0
2.0,19.0
8.8,79.0
6.6,56.0
4.0,47.0
1.6,18.0
3.8,24.0
3.9,36.0
7.6,65.0
6.7,65.0
9.0,77.0
5.2,46.0
2.1,21.0
7.4,71.0
7.8,64.0
6.1,53.0
7.9,69.0
5.4,45.0
5.7,60.0
4.8,45.0
1.2,4.0
2.0,23.0
1.3,22.0
6.7,65.0
3.8,27.0
5.6,48.0
9.2,89.0
3.2,25.0
4.7,45.0
7.8,74.0
3.1,23.0
1.7,15.0
3.6,16.0
2.5,17.0
9.4,83.0
8.3,68.0
6.7,68.0
8.8,72.0
8.2,72.0
2.7,25.0
9.0,88.0
5.9,46.0
8.3,81.0
9.1,82.0
3.9,30.0
2.0,20.0
3.1,29.0
4.8,40.0
8.4,76.0
8.7,76.0
1.1,10.0
5.6,54.0
4.8,51.0
3.0,21.0
2.1,30.0
4.0,26.0
9.5,85.0
3.9,38.0
5.7,53.0
7.3,63.0
4.3,38.0
9.7,85.0
9.7,84.0
3.3,34.0
5.5,51.0
3.7,30.0
3.6,37.0
1.3,13.0
6.5,63.0
5.5,53.0
1.5,9.0
3.5,29.0
9.2,87.0
3.2,32.0
2.3,21.0
5.4,49.0
9.9,95.0
3.2,26.0
7.0,66.0
7.9,70.0
3.1,27.0
7.6,74.0
4.3,43.0
6.7,64.0
6.7,67.0
5.8,52.0
1.8,20.0
8.5,75.0
3.9,37.0
2.7,24.0
1.4,13.0
6.3,60.0
7.1,60.0
1.1,20.0
5.6,45.0
3.0,21.0
6.8,67.0
2.6,27.0
7.2,68.0
4.5,44.0
9.4,85.0
2.2,15.0
4.1,37.0
2.0,15.0
9.3,89.0
8.9,79.0
3.3,26.0
6.9,60.0
8.4,78.0
6.0,51.0
5.8,48.0
3.2,30.0
1.8,17.0
9.1,79.0
9.1,80.0
6.7,61.0
4.1,30.0
4.1,30.0
7.5,64.0
9.1,81.0
9.0,83.0
8.0,79.0
